title,price_gbp
Tastes Like Fear (DI Marnie Rome #3),10.69
Hide Away (Eve Duncan #20),11.84
The Girl You Lost,12.29
Playing with Fire,13.71
That Darkness (Gardiner and Renner #1),13.92
The Girl In The Ice (DCI Erika Foster #1),15.85
The Constant Princess (The Tudor Court #1),16.62
A Murder in Time,16.64
A Study in Scarlet (Sherlock Holmes #1),16.73
A Spy's Devotion (The Regency Spies of London #1),16.97
Lilac Girls,17.28
The Cuckoo's Calling (Cormoran Strike #1),19.21
"In a Dark, Dark Wood",19.63
