title,price_gbp
Tastes Like Fear (DI Marnie Rome #3),10.69
Hide Away (Eve Duncan #20),11.84
The Girl You Lost,12.29
Playing with Fire,13.71
That Darkness (Gardiner and Renner #1),13.92
The Girl In The Ice (DCI Erika Foster #1),15.85
The Constant Princess (The Tudor Court #1),16.62
A Murder in Time,16.64
A Study in Scarlet (Sherlock Holmes #1),16.73
A Spy's Devotion (The Regency Spies of London #1),16.97
Lilac Girls,17.28
The Cuckoo's Calling (Cormoran Strike #1),19.21
"In a Dark, Dark Wood",19.63
Blood Defense (Samantha Brinkman #1),20.3
"Love, Lies and Spies",20.55
Between Shades of Gray,20.79
Delivering the Truth (Quaker Midwife Mystery #1),20.89
Voyager (Outlander #3),21.07
The Silkworm (Cormoran Strike #2),23.05
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21
Career of Evil (Cormoran Strike #3),24.72
The Mysterious Affair at Styles (Hercule Poirot #1),24.8
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37
Extreme Prey (Lucas Davenport #26),25.4
Starlark,25.83
"1,000 Places to See Before You Die",26.08
Girl With a Pearl Earring,26.77
Poisonous (Max Revere Novels #3),26.8
The Widow,27.26
Lost Among the Living,27.7
The Marriage of Opposites,28.08
The Passion of Dolssa,28.32
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69
